"COMPONENT 
TAG NUMBER",I/O TAG NUMBER,INSTRUMENT/EQUIPMENT TYPE,IO TYPE,
,HA,OFF MODE-ROOF TOP UNIT,,
,TC,RETURN AIR TEMPERATURE SETPOINT-ROOF TOP UNIT ,,
,TI,RETURN AIR TEMPERATURE-ROOF TOP UNIT ,,
,YA,CONDENSER FAN FAULT-ROOF TOP UNIT ,,
,YI,CONDENSER FAN STATUS-ROOF TOP UNIT ,,
,YA,COMPRESSOR FAULT-ROOF TOP UNIT,,
,YI,COMPRESSOR STATUS-ROOF TOP UNIT ,,
,YA,SUPPLY FAN FAULT-ROOF TOP UNIT ,,
,YI,SUPPLY FAN STATUS-ROOF TOP UNIT ,,
,YA,ALARM-ROOF TOP UNIT ,,
,YI,FILTER STATUS-ROOF TOP UNIT,,
,HS,ENABLE-ROOF TOP UNIT ,,
,HS,DISABLE-ROOF TOP UNIT,,
,ZI,MOTORIZED DAMPER STATUS-ROOF TOP UNIT ,,
TIT,TI,ROOM TEMPERATURE,AI,
"DUTY STANDBY SPLIT UNIT CONTROL PANEL
SRAC/SRCU",YA,SPLIT UNIT'S TRIP,DI,
,YI,SPLIT AC UNIT  RUNNING STATUS ,DI,
,HS,SPLIT AC UNIT ENABLE / DISABLE,DO,
FIT,FI,FLOW,AI,
ODOR CONTROL UNIT LCP,HS,ENABLE/DISABLE,DO,
,YA,FAULT ,DI,
,YI,STATUS ,DI,
"HS-DETAIL CP
(Constant Speed Pump)",HI,LOR SELECTOR SWITCH OFF INDICATION ,DI,
,HI,LOR SELECTOR SWITCH LOCAL/REMOTE INDICATION,DI,
,HS,REMOTE AUTO / REMOTE MANUAL,DI,
,HSS,STOP,DO,
,HSR,START ,DO,
,YA,FAULT ,DI,
,YI,STATUS ,DI,
SOV,HS,OVERFLOW & DRAIN OF SUB BASE TANKS TO BULK TANK 01,DO,
FS,FI,FLOW SWITCH ,DI,
DUPLEX FUEL OIL PUMPS,YA,PUMP 1 FAULT,DI,
,YI,PUMP 1 STATUS,DI,
,DPAH,DIFFERENTIAL PRESSEURE SWITCH HIGH-PUMP 1 INLET SUCTION STRAINER,DI,
,PAH,PRESSURE SWITCH HIGH-PUMP 1 OULET,DI,
,YA,PUMP 2 FAULT,DI,
,YI,PUMP 2 STATUS,DI,
,DPAH,DIFFERENTIAL PRESSEURE SWITCH HIGH-PUMP 2 INLET SUCTION STRAINER,DI,
,PAH,PRESSURE SWITCH HIGH-PUMP 2 OULET,DI,
,LAHH,SUB BASE TANK HIGH HIGH LEVEL ALARM,DI,
,LIL,SUB BASE TANK LOW LEVEL INDICATION,DI,
,LIH,SUB BASE TANK HIGH LEVEL INDICATION,DI,
DETAIL-FCV,NI,TORQUE  INDICATION,AI,
,ZC,POSITION COMMAND,AO,
,ZI,POSITION FEEDBACK,AI,
,HI,LOR SELECTOR SWITCH OFF INDICATION,DI,
,HI,LOCAL/REMOTE INDICATION,DI,
,YA,ACTUATOR FAULT,DI,
"HS DETAIL FIP
FERTILIZER PUMP",HS,REMOTE AUTO/REMOTE MANUAL,DI,
,HI ,LOCAL/OFF/REMOTE INDICATION,DI,
,HSS ,STOP ,DO,
,HSR ,START,DO,
,YA  ,FAULT ,DI,
,YI ,STATUS ,DI,
HS-DETAIL ABF,YI,BACKWASH MODE,DI,
,YA,FAULT,DI,
,YI,NORMAL MODE,DI,
"FM
FERTILIZER MIXER",HS,REMOTE AUTO/REMOTE MANUAL ,DI,
,HI,LOCAL/OFF/REMOTE INDICATION ,DI,
,HSS ,STOP ,DO,
,HSR ,START ,DO,
,YA  ,FAULT,DI,
,YI ,STATUS ,DI,
"HS-DETAIL MP
MOTORIZED PENSTOCK ",HSC,CLOSE COMMAND,DO,
,HSO,OPEN COMMAND,DO,
,ZI,CLOSED POSITION,DI,
,ZI,OPENED POSITION,DI,
,HS,AUTO/MANUAL Mode,DI,
,YA,FAULT,DI,
HS-DETAIL SF1,HI,LOR SELECTOR SWITCH OFF INDICATION ,DI,
,HI,LOR SELECTOR SWITCH LOCAL/REMOTE INDICATION ,DI,
,HS,STOP ,DO,
,HS,START ,DO,
,YA,FAULT ,DI,
,YI,STATUS ,DI,
MCC,,INCOMING STATUS (ON/OFF),DI,
,,INCOMING STATUS ( NORM/FAULT),DI,
,,INCOMING CURRENT READING PER PHASE,AI,
,,INCOMING GENERAL ALARM,DI,
,,INCOMING POWER FAIL (TRIP),DI,
,,OUTGOING STATUS (ON/OFF),DI,
,,OUTGOING STATUS ( NORM/FAULT),DI,
GENERATOR,,ON/OFF,DI,
,,NORM/FAULT,DI,
,,CURRENT READING PER PHASE,AI,
,,KWhr READING,AI,
,,KW READING,AI,
,,POWER FAIL (TRIP),DI,
,,GENERAL ALARM,DI,
AUTOMATIC TRANSFER SWITCH (ATS),,ON/OFF,DI,
,,NORM/FAULT,DI,
,,MANUAL/AUTO SELECTOR,DI,
,,POWER FAIL (TRIP),DI,
,,GENERAL ALARM,DI,
POWER FACTOR CORRECTION CAPACITOR,,ON/OFF,DI,
,,POWER FACTOR CAPACITOR BANK STEPS,DI,
AIT,CONDUCTIVITY ANALYZER,CONDUCTIVITY READING,AI,
AIT,H2S ANALYZER,H2S READING,AI,
NOVEC CLEAN AGENT SYSTEM,,FIRE SUPPRESSION GAS CONTROL PANEL ALARM,COM,
,,FIRE SUPPRESSION GAS CONTROL PANEL ALARM,,
,,FIRE SUPPRESSION GAS CONTROL PANEL POWER STATUS,,
,,FIRE SMOKE DAMPER STATUS,,
FACP,, ON/OFF ,DI,
,, NORM/FAULT,DI,
,, GENERAL ALARM,DI,
,, POWER FAIL (OR TRIP),DI,
,,FIRE ALARM SYSTEM GENERAL ALARM,DI,
UPS,,ON/OFF ,DI,
,,NORM/FAULT,DI,
,,MANUAL/AUTO SELECTOR,DI,
,,CURRENT PER PHASE,AI,
,,GENERAL ALARM,DI,
,,POWER FAIL (OR TRIP),DI,
